# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001254385,-0.0115,0.1419,1.0364,1.046
0.004752231,-0.0279,0.1451,1.0322,1.043
0.00978677,-0.0259,0.1500,1.0328,1.044
0.012363,-0.0266,0.1500,1.0303,1.042
0.014899385,-0.0261,0.1468,1.0301,1.041
0.017397231,-0.0261,0.1441,1.0320,1.042
0.019940847,-0.0268,0.1429,1.0317,1.042
0.027664924,-0.0279,0.1425,1.0326,1.043
0.032652847,-0.0249,0.1483,1.0242,1.035
0.03767477,-0.0222,0.1468,1.0257,1.036
0.040294693,-0.0196,0.1481,1.0245,1.035
0.044134693,-0.0173,0.1483,1.0252,1.036
0.04740977,-0.0154,0.1486,1.0254,1.036
0.051487693,-0.0139,0.1509,1.0235,1.035
0.055790154,-0.0117,0.1530,1.0242,1.036
0.058579308,-0.0093,0.1534,1.0237,1.035
0.063928924,-0.0066,0.1570,1.0273,1.039
0.06840977,-0.0091,0.1590,1.0269,1.039
0.073261154,-0.0054,0.1598,1.0252,1.038
0.075930385,-0.0049,0.1583,1.0269,1.039
0.080968847,-0.0075,0.1568,1.0340,1.046
0.083467924,-0.0083,0.1590,1.0357,1.048
0.086034693,-0.0054,0.1598,1.0366,1.049
0.088546385,-0.0039,0.1595,1.0376,1.050
0.092527308,-0.0073,0.1581,1.0382,1.050
0.096353539,-0.0161,0.1617,1.0362,1.049
0.100908539,-0.0203,0.1632,1.0374,1.050
0.108928308,-0.0252,0.1622,1.0350,1.048
0.112817462,-0.0277,0.1602,1.0359,1.049
0.116445847,-0.0277,0.1474,1.0254,1.036
0.121559616,-0.0247,0.1497,1.0186,1.030
0.124085154,-0.0219,0.1514,1.0212,1.033
0.134124308,-0.0222,0.1549,1.0208,1.033
0.136642154,-0.0235,0.1610,1.0193,1.032
0.139144539,-0.0235,0.1614,1.0223,1.035
0.14401777,-0.0212,0.1622,1.0224,1.035
0.147324,-0.0163,0.1583,1.0266,1.039
0.152087616,-0.0142,0.1551,1.0271,1.039
0.15707377,-0.0137,0.1532,1.0279,1.039
0.159826693,-0.0119,0.1532,1.0259,1.037
0.165063385,-0.0117,0.1539,1.0303,1.042
0.169972539,-0.0117,0.1514,1.0333,1.044
0.172559077,-0.0100,0.1532,1.0315,1.043
0.176315693,-0.0086,0.1532,1.0322,1.044
0.180707385,-0.0042,0.1558,1.0294,1.041
0.185076308,-0.0044,0.1593,1.0303,1.043
0.190061154,-0.0039,0.1570,1.0354,1.047
0.192960308,-0.0042,0.1579,1.0350,1.047
0.198166462,-0.0063,0.1575,1.0366,1.049
