# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 10:00:03.850
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007947,0.1327,-0.0440,-0.4804,0.50
0.020290,0.0098,0.1395,-0.6394,0.65
0.030469,0.0211,0.0791,-0.5442,0.55
0.039124,0.1305,0.0010,-0.4027,0.42
0.046873,0.2510,-0.0802,-0.2140,0.34
0.061170,0.2578,-0.1805,0.1166,0.34
0.073480,0.2379,-0.1917,0.2938,0.42
0.076556,0.1837,-0.2067,0.3816,0.47
0.091941,0.1582,-0.1157,0.3820,0.43
0.100533,0.1881,-0.0564,0.2557,0.32
0.108665,0.1704,-0.0211,0.1305,0.22
0.116775,0.1801,-0.0368,-0.0135,0.18
0.132199,0.2112,-0.0664,-0.3095,0.38
0.140660,0.2272,-0.0957,-0.4237,0.49
0.148244,0.2442,-0.1043,-0.4428,0.52
0.156983,0.2289,-0.0987,-0.4461,0.51
0.165422,0.2038,-0.0951,-0.4482,0.50
0.181488,0.1363,-0.0785,-0.3215,0.36
0.188234,0.1304,-0.0936,-0.2230,0.27
0.196820,0.1677,-0.0942,-0.1150,0.22
0.205790,0.1947,-0.1002,-0.0689,0.23
0.221071,0.2496,-0.0957,-0.0752,0.28
0.231467,0.2659,-0.1040,-0.1372,0.32
0.238717,0.2507,-0.0798,-0.2155,0.34
0.246465,0.2307,-0.0604,-0.2746,0.36
0.261148,0.1063,0.0433,-0.2671,0.29
0.275338,0.1173,0.1167,-0.2226,0.28
0.280253,0.1839,0.1253,-0.1791,0.29
0.285439,0.2356,0.1233,-0.1457,0.30
0.299852,0.2011,0.1176,-0.0528,0.24
0.308694,0.1576,0.1052,-0.0308,0.19
0.316519,0.1406,0.0639,-0.0015,0.15
0.332480,0.0586,0.0026,-0.0315,0.07
0.339999,-0.0195,-0.0156,-0.0149,0.03
0.349038,-0.0937,-0.0515,0.0595,0.12
0.356612,-0.1466,-0.1308,0.1366,0.24
0.365393,-0.1717,-0.1560,0.2380,0.33
0.380729,-0.1988,-0.1203,0.3114,0.39
0.388561,-0.1947,-0.1129,0.2909,0.37
0.395963,-0.1868,-0.0958,0.1612,0.26
0.413375,-0.1671,-0.1026,-0.1448,0.24
0.423586,-0.1625,-0.1351,-0.2258,0.31
0.429979,-0.1396,-0.1531,-0.2997,0.36
0.438892,-0.1078,-0.1546,-0.3471,0.39
0.449036,-0.1099,-0.1701,-0.3492,0.40
0.457089,-0.1146,-0.1799,-0.3925,0.45
0.466410,-0.1412,-0.1764,-0.4243,0.48
0.478779,-0.0996,-0.1874,-0.4633,0.51
0.493517,0.0271,-0.1895,-0.4622,0.50
0.500564,0.0531,-0.1450,-0.4304,0.46
0.508369,0.0474,-0.1208,-0.3872,0.41
0.517593,0.0537,-0.1155,-0.3490,0.37
0.526051,0.0670,-0.1199,-0.2986,0.33
0.542044,0.1476,-0.1492,-0.3424,0.40
0.549558,0.1602,-0.1563,-0.3818,0.44
0.558060,0.1332,-0.1561,-0.3590,0.41
0.565845,0.1009,-0.1454,-0.3295,0.37
0.575599,0.1132,-0.1261,-0.3149,0.36
0.589929,0.1254,-0.0780,-0.1728,0.23
0.600944,0.1371,-0.0651,-0.0926,0.18
0.606844,0.1396,-0.0690,-0.0530,0.16
0.616491,0.1512,-0.0643,-0.0441,0.17
0.629656,0.0779,-0.0318,0.0565,0.10
0.643427,0.0579,-0.0067,0.0789,0.10
0.649411,0.0594,-0.0048,0.0949,0.11
0.655701,0.0729,-0.0300,0.0993,0.13
0.666466,0.0600,-0.0391,0.1015,0.12
0.678219,0.0388,-0.0053,0.0738,0.08
0.692879,0.0498,0.0016,0.0463,0.07
0.701742,0.0810,-0.0566,0.0307,0.10
0.708995,0.1029,-0.0835,-0.0123,0.13
0.717454,0.1374,-0.0900,-0.0477,0.17
0.725882,0.1368,-0.0919,-0.1142,0.20
0.743216,0.1625,-0.0794,-0.1728,0.25
0.749906,0.1797,-0.0666,-0.1939,0.27
0.760885,0.1918,-0.0593,-0.2063,0.29
0.768134,0.1677,-0.0812,-0.1380,0.23
0.782614,0.1567,-0.0799,0.1473,0.23
0.793597,0.1510,-0.0678,0.2190,0.27
0.800707,0.1291,-0.0922,0.2623,0.31
0.808319,0.0914,-0.1247,0.2293,0.28
0.821158,0.0575,-0.0509,0.1311,0.15
0.835642,0.0493,-0.0197,0.0565,0.08
0.841485,0.0292,-0.0066,-0.0102,0.03
0.847930,-0.0103,-0.0087,-0.0837,0.08
0.859037,-0.0642,0.0032,-0.1308,0.15
0.870544,-0.1165,0.0420,-0.2083,0.24
0.883578,-0.0888,0.0428,-0.2533,0.27
0.892498,-0.0299,0.0152,-0.3056,0.31
0.900227,0.0454,-0.0145,-0.3725,0.38
0.909805,0.1150,-0.0410,-0.4638,0.48
0.917170,0.1140,-0.0567,-0.4550,0.47
0.925596,0.0914,-0.0636,-0.4396,0.45
0.942498,0.0241,-0.0332,-0.3436,0.35
0.950831,-0.0018,-0.0322,-0.3129,0.31
0.958366,-0.0443,-0.0210,-0.3113,0.32
0.966974,-0.0599,-0.0210,-0.3531,0.36
0.981716,-0.0591,-0.0357,-0.3406,0.35
0.991715,-0.0812,-0.0366,-0.3028,0.32
0.999801,-0.0955,-0.0461,-0.2246,0.25
1.009511,-0.0751,-0.0752,-0.1679,0.20
1.017338,-0.0634,-0.0646,-0.1633,0.19
1.037469,-0.1541,0.0157,-0.2125,0.26
1.039063,-0.2089,0.0188,-0.2738,0.34
1.050555,-0.2210,-0.0164,-0.2823,0.36
1.058630,-0.1575,-0.0959,-0.2674,0.32
1.067436,-0.1049,-0.1573,-0.1934,0.27
1.077663,0.0179,-0.1957,0.0300,0.20
1.091651,0.0614,-0.1936,0.1394,0.25
1.101751,0.1040,-0.1713,0.2159,0.29
1.110378,0.1808,-0.0927,0.1899,0.28
1.117938,0.2133,-0.0512,0.0876,0.24
1.126966,0.2297,-0.0040,-0.0068,0.23
1.142170,0.1807,0.0780,-0.1811,0.27
1.150633,0.1542,0.0760,-0.2353,0.29
1.158711,0.1284,0.0781,-0.2279,0.27
1.167204,0.0814,0.0653,-0.2214,0.24
1.182852,-0.0117,-0.0185,-0.0905,0.09
1.194579,-0.0133,-0.0635,0.0005,0.06
1.201513,0.0035,-0.1086,0.0916,0.14
1.208079,-0.0191,-0.1256,0.1805,0.22
1.217402,-0.0396,-0.1146,0.1836,0.22
1.229215,-0.0940,-0.0498,0.1944,0.22
1.242062,-0.0688,-0.0514,0.1425,0.17
1.249501,-0.0382,-0.0543,0.0719,0.10
1.257848,-0.0597,-0.0559,0.0139,0.08
1.267154,-0.0884,-0.0293,-0.0511,0.11
1.281676,-0.1007,-0.0267,-0.1307,0.17
1.287636,-0.0798,-0.0148,-0.1741,0.19
1.301531,0.0788,0.0135,-0.2271,0.24
1.309730,0.1524,0.0087,-0.2346,0.28
1.317481,0.1945,0.0220,-0.3025,0.36
1.325953,0.1453,0.0370,-0.3280,0.36
1.341541,0.0603,-0.0023,-0.2545,0.26
1.349808,0.0502,-0.0354,-0.2199,0.23
1.357447,0.0485,-0.0751,-0.1711,0.19
1.365702,0.0675,-0.0951,-0.0866,0.15
1.381994,0.0490,-0.0933,0.0254,0.11
1.391670,0.0145,-0.0899,0.0489,0.10
1.399162,0.0007,-0.1023,0.0084,0.10
1.409182,0.0151,-0.1267,-0.0335,0.13
1.416545,0.0300,-0.1691,-0.0867,0.19
1.429995,-0.0287,-0.1462,-0.1763,0.23
1.440882,-0.0830,-0.1225,-0.2182,0.26
1.449601,-0.1036,-0.1137,-0.2513,0.29
1.459507,-0.0717,-0.1247,-0.2685,0.30
1.467121,-0.0479,-0.1343,-0.2600,0.30
1.478722,-0.0682,-0.1246,-0.1698,0.22
1.495204,-0.0884,-0.1349,-0.0999,0.19
1.495357,-0.0892,-0.1146,-0.0105,0.15
1.510276,-0.1591,-0.0341,0.0978,0.19
1.518365,-0.1427,-0.0466,0.1267,0.20
1.529127,-0.1360,-0.0514,0.1182,0.19
1.541541,-0.1103,0.0115,0.0024,0.11
