# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001236923,0.0341,0.1610,0.7640,0.782
0.004123385,0.0434,0.1632,0.7439,0.763
0.00670577,0.0424,0.1593,0.7400,0.758
0.009243616,0.0424,0.1570,0.7321,0.750
0.01204577,0.0409,0.1583,0.7244,0.743
0.016696539,0.0368,0.1554,0.7134,0.731
0.019372846,0.0334,0.1558,0.7082,0.726
0.030731077,0.0283,0.1539,0.6880,0.706
0.034215385,0.0227,0.1517,0.6677,0.685
0.036907077,0.0223,0.1514,0.6628,0.680
0.039428616,0.0190,0.1509,0.6586,0.676
0.050965462,0.0192,0.1521,0.6540,0.672
0.054826693,0.0190,0.1566,0.6354,0.655
0.062238077,0.0204,0.1624,0.6307,0.652
0.064967077,0.0248,0.1759,0.6168,0.642
0.069560616,0.0288,0.1864,0.6088,0.637
0.072207385,0.0295,0.1954,0.6046,0.636
0.074738462,0.0297,0.2028,0.6004,0.634
0.077402693,0.0314,0.2101,0.5965,0.633
0.079967923,0.0312,0.2182,0.5939,0.633
0.08470277,0.0351,0.2358,0.5867,0.633
0.08757777,0.0329,0.2455,0.5887,0.639
0.092475385,0.0292,0.2656,0.5878,0.646
0.095312539,0.0297,0.2744,0.5858,0.648
0.097823077,0.0283,0.2822,0.5865,0.652
0.102614385,0.0256,0.2961,0.5885,0.659
0.105216308,0.0270,0.3052,0.5916,0.666
0.108308616,0.0258,0.3133,0.5999,0.677
0.113180923,0.0227,0.3294,0.6163,0.699
0.117944308,0.0216,0.3473,0.6337,0.723
0.122989846,0.0207,0.3650,0.6498,0.746
0.128182077,0.0221,0.3780,0.6652,0.765
0.130737462,0.0219,0.3829,0.6762,0.777
0.133271923,0.0216,0.3851,0.6882,0.789
0.138199616,0.0214,0.3973,0.7067,0.811
0.144362385,0.0214,0.3998,0.7162,0.821
0.148475385,0.0256,0.4233,0.7414,0.854
0.153240308,0.0276,0.4398,0.7647,0.883
0.155867693,0.0256,0.4442,0.7742,0.893
0.180554462,0.0253,0.4454,0.7833,0.901
0.190470385,0.0265,0.4669,0.8148,0.939
0.19890677,0.0542,0.4643,0.9441,1.053
0.20366,0.0615,0.4406,0.9934,1.088
0.206305462,0.0595,0.4406,1.0061,1.100
0.209360923,0.0539,0.4418,1.0210,1.114
0.211880923,0.0490,0.4410,1.0347,1.126
0.21664677,0.0373,0.4440,1.0613,1.151
0.219427385,0.0307,0.4477,1.0770,1.167
0.221989846,0.0216,0.4482,1.0899,1.179
0.229671308,0.0134,0.4511,1.1037,1.192
0.234342385,-0.0012,0.4540,1.1533,1.239
0.23734577,-0.0051,0.4494,1.1596,1.244
0.24688177,-0.0091,0.4438,1.1760,1.257
0.249760846,-0.0184,0.4338,1.2006,1.277
0.254908231,-0.0181,0.4277,1.2180,1.291
0.262920846,-0.0168,0.4237,1.2300,1.301
0.272646077,-0.0127,0.4093,1.2673,1.332
0.281183385,-0.0149,0.3821,1.2962,1.351
0.285010462,-0.0522,0.3888,1.3094,1.367
0.28761477,-0.0731,0.4000,1.3055,1.367
0.294211308,-0.1214,0.4347,1.3029,1.379
0.297503385,-0.1666,0.4834,1.2987,1.396
0.300112616,-0.1769,0.5029,1.3031,1.408
0.305058693,-0.1794,0.5232,1.3136,1.425
0.311875,-0.1706,0.5207,1.3197,1.429
0.315243923,-0.1230,0.4765,1.3204,1.409
0.320356846,-0.0757,0.4235,1.3197,1.388
0.327809539,-0.0117,0.3611,1.3253,1.374
0.330326385,0.0434,0.2979,1.3463,1.380
0.335376616,0.0835,0.2480,1.3856,1.410
0.338891308,0.0945,0.2289,1.4099,1.431
0.347363693,0.1108,0.2010,1.4536,1.472
0.350401846,0.1138,0.1833,1.5112,1.527
0.355414462,0.1043,0.1873,1.5279,1.543
0.373879077,0.0817,0.1928,1.5533,1.567
0.38169877,0.0292,0.1996,1.5667,1.580
0.385373462,-0.1330,0.2397,1.4514,1.477
0.388078693,-0.1459,0.2406,1.4218,1.449
0.393897539,-0.1682,0.2436,1.3624,1.394
0.398191,-0.1833,0.2472,1.2999,1.336
0.401082154,-0.1867,0.2455,1.2717,1.309
0.405667308,-0.1926,0.2439,1.2195,1.258
0.411588539,-0.1918,0.2434,1.1911,1.231
0.415637231,-0.1777,0.2374,1.1193,1.158
0.41836177,-0.1750,0.2321,1.0978,1.136
0.421872539,-0.1708,0.2287,1.0794,1.116
0.426830077,-0.1540,0.2241,1.0484,1.083
0.431245231,-0.1363,0.2167,1.0277,1.059
0.435795,-0.1195,0.2118,1.0140,1.043
0.447110693,-0.1021,0.2047,1.0030,1.029
0.45134977,-0.0738,0.1845,1.0061,1.026
0.453852846,-0.0699,0.1805,1.0054,1.024
0.456740923,-0.0655,0.1771,1.0066,1.024
0.494362077,-0.0640,0.1728,1.0063,1.023
0.500612,-0.0704,0.0936,0.9057,0.913
0.504276308,-0.0682,0.0838,0.8627,0.869
0.509210693,-0.0706,0.0815,0.8318,0.839
0.512011,-0.0733,0.0796,0.8143,0.821
0.517004231,-0.0741,0.0757,0.7744,0.782
0.519588846,-0.0731,0.0747,0.7579,0.765
0.526127385,-0.0701,0.0742,0.7248,0.732
0.529556616,-0.0631,0.0715,0.6920,0.699
0.532224923,-0.0582,0.0710,0.6755,0.682
0.537604231,-0.0520,0.0647,0.6454,0.651
0.547526154,-0.0476,0.0669,0.6202,0.626
0.555011693,-0.0349,0.0794,0.5743,0.581
0.596473154,-0.0337,0.0906,0.5562,0.565
0.605567,-0.0648,0.2218,0.5862,0.630
0.611823308,-0.0652,0.2180,0.6165,0.657
0.615231,-0.0669,0.2177,0.6190,0.660
0.619951923,-0.0697,0.2226,0.6190,0.661
0.622799693,-0.0706,0.2255,0.6200,0.664
0.625667077,-0.0731,0.2273,0.6197,0.664
0.630315,-0.0760,0.2402,0.6305,0.679
0.633419385,-0.0780,0.2541,0.6370,0.690
0.637973462,-0.0836,0.2737,0.6505,0.711
0.647404923,-0.0916,0.3017,0.6598,0.731
0.652260308,-0.0911,0.3343,0.6923,0.774
0.657640539,-0.0846,0.3489,0.7221,0.806
0.694214077,-0.0745,0.3590,0.7603,0.844
0.698496308,-0.0655,0.3646,0.7768,0.861
0.704435385,0.0346,0.3655,0.9541,1.022
0.713089846,0.0344,0.3653,0.9683,1.035
0.715604539,0.0393,0.3548,0.9861,1.049
0.718850385,0.0458,0.3509,0.9937,1.055
0.723474077,0.0537,0.3441,1.0091,1.067
0.727916308,0.0581,0.3420,1.0093,1.067
0.730915308,0.0405,0.3565,1.0189,1.080
0.734034385,0.0234,0.3765,1.0096,1.078
0.738762154,0.0116,0.4068,1.0130,1.092
0.748765231,0.0065,0.4168,1.0223,1.104
0.754964231,0.0173,0.4105,1.0491,1.127
0.776249462,-0.0061,0.4342,1.0438,1.130
0.785770154,-0.0042,0.4790,1.0924,1.193
0.789208,0.0671,0.4858,1.1960,1.293
0.792232923,0.0757,0.4823,1.2043,1.299
0.796752616,0.0935,0.4741,1.2200,1.312
0.799538462,0.0979,0.4701,1.2239,1.315
0.80425377,0.1033,0.4513,1.2114,1.297
0.806934154,0.1020,0.4418,1.2136,1.296
0.809582077,0.1028,0.4347,1.2249,1.304
0.812691385,0.1050,0.4303,1.2356,1.313
0.816754154,0.1087,0.4223,1.2451,1.319
0.81929477,0.1052,0.4210,1.2458,1.319
