# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:54:46.420
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005898,-0.1054,-0.1577,0.1909,0.27
0.014047,0.0907,-0.2325,0.3492,0.43
0.020861,0.1309,-0.2519,0.3017,0.41
0.028941,0.1210,-0.2099,0.2092,0.32
0.044726,0.0748,-0.1294,-0.0421,0.16
0.053571,-0.0048,-0.1056,-0.1014,0.15
0.061473,-0.0239,-0.0496,-0.0273,0.06
0.069043,-0.0553,-0.0457,-0.0516,0.09
0.078870,-0.0663,-0.0556,-0.1671,0.19
0.092274,0.0692,-0.0856,-0.3728,0.39
0.104270,0.1187,-0.1048,-0.4396,0.47
0.111819,0.1809,-0.1463,-0.4929,0.55
0.120990,0.1907,-0.1436,-0.5109,0.56
0.128110,0.1362,-0.1082,-0.5010,0.53
0.140044,-0.0108,-0.0650,-0.3683,0.37
0.148712,-0.0870,-0.0483,-0.3169,0.33
0.164363,-0.1660,-0.0496,-0.1440,0.23
0.172499,-0.1415,-0.0606,-0.0799,0.17
0.180091,-0.0783,-0.0631,-0.0559,0.12
0.188613,-0.0436,-0.0591,-0.0148,0.07
0.204346,-0.0188,-0.0757,-0.0065,0.08
0.212454,-0.0068,-0.0791,-0.0227,0.08
0.220789,0.0015,-0.0744,-0.0179,0.08
0.228699,0.0256,-0.0646,-0.0372,0.08
0.243999,0.0965,-0.0950,-0.0471,0.14
0.255648,0.0587,-0.1118,-0.0304,0.13
0.263011,0.0173,-0.1099,-0.0182,0.11
0.270884,-0.0075,-0.1081,-0.0466,0.12
0.280644,-0.0382,-0.1067,0.0305,0.12
0.292884,-0.1068,-0.1419,0.1453,0.23
0.309020,-0.0693,-0.1790,0.0827,0.21
0.309097,0.0354,-0.1504,0.0280,0.16
0.325697,0.1611,-0.0586,-0.1512,0.23
0.333175,0.1601,-0.0853,-0.2906,0.34
0.340516,0.1306,-0.0853,-0.3752,0.41
0.348581,0.1090,-0.0769,-0.4365,0.46
0.365116,0.0485,-0.0755,-0.3926,0.40
0.373045,-0.0153,-0.0836,-0.3969,0.41
0.382087,-0.0704,-0.0895,-0.3809,0.40
0.388912,-0.0955,-0.0862,-0.3563,0.38
0.405423,-0.0316,-0.0984,-0.2418,0.26
0.414002,0.0216,-0.0839,-0.2253,0.24
0.421706,0.0151,-0.0620,-0.2281,0.24
0.429202,-0.0089,-0.0236,-0.1542,0.16
0.444420,-0.0164,-0.0380,0.0716,0.08
0.455691,-0.0234,-0.0743,0.1184,0.14
0.463018,-0.0071,-0.0802,0.1033,0.13
0.471809,0.0139,-0.0789,-0.0196,0.08
0.478098,0.0229,-0.0952,-0.1336,0.17
0.489411,0.0292,-0.0885,-0.2006,0.22
0.498218,0.0154,-0.0822,-0.1945,0.21
0.509360,-0.0029,-0.0800,-0.0095,0.08
0.519382,-0.0136,-0.0603,0.0535,0.08
0.529487,-0.0053,-0.0876,0.1029,0.14
0.541661,0.0682,-0.1297,0.1072,0.18
0.548960,0.0807,-0.1466,0.1121,0.20
0.565995,0.0398,-0.1692,0.0135,0.17
0.574128,0.0374,-0.1488,-0.0492,0.16
0.581922,0.0257,-0.1194,-0.1356,0.18
0.589603,0.0403,-0.0921,-0.1813,0.21
0.606189,0.0078,-0.0654,-0.2278,0.24
0.615626,0.0205,-0.0609,-0.2263,0.24
0.622603,0.0333,-0.0391,-0.2275,0.23
0.630584,0.0490,-0.0316,-0.2311,0.24
0.640220,0.0387,-0.0550,-0.2372,0.25
0.652586,0.0183,-0.0545,-0.2840,0.29
0.666437,0.0202,-0.0515,-0.2508,0.26
0.673004,0.0099,-0.0575,-0.2179,0.23
0.681279,-0.0266,-0.0657,-0.2043,0.22
0.689682,-0.0479,-0.0784,-0.2005,0.22
0.701330,-0.0446,-0.0585,-0.1137,0.14
0.716761,-0.0545,-0.0500,-0.1145,0.14
0.725531,-0.0478,-0.0613,-0.0875,0.12
0.741456,-0.0072,-0.0694,-0.1098,0.13
0.741584,0.0541,-0.0896,-0.1464,0.18
0.749345,0.0967,-0.0810,-0.1975,0.23
0.766122,0.1101,-0.1207,-0.1659,0.23
0.775829,0.0874,-0.1622,-0.1261,0.22
0.783848,0.0536,-0.1798,-0.1079,0.22
0.789497,0.0597,-0.1921,-0.1091,0.23
0.804888,-0.0190,-0.1239,-0.1389,0.19
0.814597,-0.0287,-0.0291,-0.0931,0.10
0.823593,-0.0604,0.0229,-0.0259,0.07
0.832165,-0.0831,0.0180,0.0171,0.09
0.839758,-0.0559,-0.0083,0.0528,0.08
0.848165,-0.0412,-0.0475,0.0580,0.09
0.861042,0.0183,-0.0919,0.0442,0.10
0.874178,0.0659,-0.0924,0.0684,0.13
0.881343,0.0848,-0.0943,0.0311,0.13
0.890330,0.0776,-0.1145,-0.0364,0.14
0.899101,0.0811,-0.1144,-0.1105,0.18
0.909279,0.0620,-0.0848,-0.2710,0.29
0.925068,0.0455,-0.0807,-0.2933,0.31
0.932368,0.0038,-0.0899,-0.2826,0.30
0.939088,-0.0171,-0.0791,-0.2460,0.26
0.948439,-0.0647,-0.0538,-0.1736,0.19
0.964606,0.0150,-0.0463,-0.1147,0.12
0.973162,0.0328,-0.0659,-0.1119,0.13
0.981026,0.0320,-0.0634,-0.1191,0.14
0.989590,0.0389,-0.0583,-0.1048,0.13
0.998212,0.0033,-0.0432,-0.0668,0.08
1.012782,-0.0491,-0.0747,-0.0115,0.09
1.022046,-0.0538,-0.1075,-0.0273,0.12
1.031385,-0.0174,-0.1074,-0.0428,0.12
1.039439,0.0287,-0.0982,-0.0628,0.12
1.048315,0.0433,-0.0823,-0.1233,0.15
1.061163,0.0286,-0.0554,-0.3054,0.31
1.068430,0.0183,-0.0355,-0.3010,0.30
1.085241,-0.0328,-0.0187,-0.1779,0.18
1.094327,-0.0358,-0.0002,-0.2316,0.23
1.102262,-0.0069,-0.0092,-0.1999,0.20
1.110488,0.0270,-0.0247,-0.1589,0.16
1.121097,0.0219,-0.0568,-0.1491,0.16
1.129337,0.0360,-0.0948,-0.1220,0.16
1.141248,0.0742,-0.1383,-0.0898,0.18
1.149321,0.0603,-0.1469,-0.0796,0.18
1.165372,0.0035,-0.1104,0.0051,0.11
1.172327,-0.0259,-0.1074,-0.0048,0.11
1.181449,-0.0529,-0.1077,-0.0358,0.13
1.189172,-0.0404,-0.0966,-0.0616,0.12
1.206832,0.0982,-0.0350,-0.1032,0.15
1.215232,0.0620,-0.0494,-0.1667,0.18
1.221374,0.0256,-0.0494,-0.2157,0.22
1.229310,-0.0066,-0.0728,-0.2315,0.24
1.239219,-0.0540,-0.0835,-0.2142,0.24
1.253568,-0.0611,-0.1059,-0.1467,0.19
1.265009,-0.0077,-0.0940,-0.0820,0.12
1.272662,0.0345,-0.0945,-0.0483,0.11
1.282306,0.0576,-0.0786,-0.0335,0.10
1.288997,0.0469,-0.0751,-0.0305,0.09
1.300555,0.0319,-0.0579,-0.0199,0.07
1.311584,0.0335,-0.0575,-0.1014,0.12
1.324066,0.0423,-0.0620,-0.1099,0.13
